,종목코드,현재가,시가,종목명,총상장주식수,PER,배당률,부채비율,유보율,ROA,순이익증가율,BPS,영업이익,결산년월,분기영업이익,분기ROE,분기유보율,분기부채비율,최근분기년월,SPS,CFPS,per,debt,pbr,roa,psr,pcr,per_rank,pbr_rank,psr_rank,pcr_rank,sum_rank
44,A028150,154900,156000,GS홈쇼핑,6562500,8.329999923706055,4.510000228881836,27.90999984741211,3502.8701171875,12.460000038146973,30.389999389648438,164104,136829000000,201812,38696000000,12.029999732971191,3490.64990234375,33.290000915527344,201903,171058,24216,6.567418143994211,27.90999984741211,0.9439136157558622,12.460000038146973,0.9055408107191713,6.396597291047241,39,47,42,49,177
45,A094840,5610,6070,슈프리마에이치큐,10471840,6.840000152587891,0.8899999856948853,6.539999961853027,2528.800048828125,5.570000171661377,57.70000076293945,12703,7256000000,201812,1967000000,8.720000267028809,2586.050048828125,6.420000076293945,201903,3264,839,7.4665763091001525,6.539999961853027,0.4416279618987641,5.570000171661377,1.71875,6.686531585220501,48,10,67,52,177
46,A079940,7980,7920,가비아,13535684,13.569999694824219,0.3700000047683716,32.61000061035156,853.2999877929688,12.579999923706055,58.650001525878906,4773,18188000000,201812,4517000000,13.729999542236328,880.0,53.66999816894531,201903,9702,1393,5.97823546158955,32.61000061035156,1.671904462602137,12.579999923706055,0.8225108225108225,5.728643216080402,33,64,39,43,179
47,A015710,6500,6560,코콤,17530500,8.100000381469727,3.0,30.540000915527344,1224.949951171875,12.880000114440918,29.3799991607666,6433,17196000000,201812,3372000000,10.350000381469727,1221.3599853515625,30.729999542236328,201903,9254,1196,8.448120551601424,30.540000915527344,1.010415047411783,12.880000114440918,0.702398962610763,5.434782608695652,58,51,33,38,180
48,A221980,11650,11900,케이디켐,4034800,6.840000152587891,4.289999961853027,10.899999618530273,3583.989990234375,9.829999923706055,3.1700000762939453,17916,7268000000,201812,1654000000,10.149999618530273,3581.60009765625,13.5600004196167,201903,12206,1521,7.104809552599758,10.899999618530273,0.6502567537396741,9.829999923706055,0.9544486318204162,7.659434582511506,45,30,47,58,180
49,A067920,4250,4170,이글루시큐리티,10996119,6.679999828338623,3.2899999618530273,16.190000534057617,886.3599853515625,19.389999389648438,110.88999938964844,4413,2979000000,201812,2164000000,17.690000534057617,901.9000244140625,17.260000228881836,201903,5841,337,5.398972475739371,16.190000534057617,0.9630636755041921,19.389999389648438,0.7276151343947954,12.611275964391691,26,49,34,72,181
50,A003780,3215,3250,진양산업,13000000,11.859999656677246,3.109999895095825,43.13999938964844,444.8699951171875,6.929999828338623,44.88999938964844,2763,3020000000,201812,1738000000,15.729999542236328,452.55999755859375,44.310001373291016,201903,4721,373,6.011939010356732,43.13999938964844,1.163590300398118,6.929999828338623,0.6809997881804702,8.619302949061662,34,53,31,64,182
51,A001560,6330,6200,제일연마,10000000,10.220000267028809,3.1500000953674316,28.020000457763672,1765.5899658203125,7.190000057220459,33.209999084472656,7716,5610000000,201812,1663000000,8.960000038146973,1772.7900390625,26.25,201903,8243,1071,9.515935057125677,28.020000457763672,0.8203732503888025,7.190000057220459,0.7679242994055562,5.910364145658264,66,39,37,45,187
52,A036810,6900,7170,에프에스티,20233814,7.300000190734863,1.149999976158142,48.5,896.760009765625,19.360000610351562,73.7300033569336,4913,20001000000,201812,4972000000,22.239999771118164,934.9400024414062,66.1500015258789,201903,6944,1234,7.0199777051488335,48.5,1.404437207408915,19.360000610351562,0.993663594470046,5.591572123176661,41,60,48,40,189
53,A002290,2960,3030,삼일기업공사,12400000,12.75,3.369999885559082,8.819999694824219,815.6799926757812,5.570000171661377,16.729999542236328,4559,3042000000,201812,1003000000,7.079999923706055,811.8499755859375,14.050000190734863,201903,4465,276,9.148554336989033,8.819999694824219,0.6492651897345909,5.570000171661377,0.6629339305711086,10.72463768115942,62,29,30,69,190
